,term1,term2,cos_sim
0,80,egypt,0.9999999999999998
1,(,),0.9955386818996996
2,<START>,<END>,0.9713016182926348
3,<START>,coronavirus,0.8583360495133483
4,<END>,coronavirus,0.8413200022533653
5,recently,egypt,0.7668107439829147
6,80,recently,0.7668107439829147
7,confirm,80,0.44170788705035713
8,confirm,egypt,0.4417078870503569
9,novel,egypt,0.41485922486430327
10,80,novel,0.41485922486430327
11,80,man,0.4017173872987604
12,man,egypt,0.4017173872987603
13,travel,80,0.39750931063683004
14,travel,egypt,0.3975093106368299
15,covid-19,<END>,0.3881886333481275
16,<START>,covid-19,0.3730682274393492
17,ontario,80,0.34167434141199227
18,ontario,egypt,0.34167434141199204
19,confirm,recently,0.3405022840423394
20,confirm,case,0.3274955079564197
21,confirm,novel,0.31512235982487224
22,),egypt,0.3023792561928327
23,),80,0.30237925619283246
24,confirm,ontario,0.30090830619167175
25,(,egypt,0.2991200645305794
26,(,80,0.29912006453057927
27,travel,recently,0.2696232973910492
28,case,new,0.26219681685042295
29,),novel,0.2614143213849204
30,(,novel,0.23645644484400075
31,case,ontario,0.21298798685968967
32,new,egypt,0.19246814840256543
33,80,new,0.19246814840256543
34,case,covid-19,0.19203044572098238
35,.,coronavirus,0.19063225486900637
36,new,recently,0.17738638514668037
37,.,<START>,0.15233964378138376
38,man,recently,0.14914198017901847
39,.,<END>,0.14896973045049045
40,case,<START>,0.14699624730261518
41,case,<END>,0.14499030019956427
42,ontario,man,0.14133933518474495
43,.,case,0.13262542187426596
44,case,egypt,0.13004637334464852
45,case,80,0.1300463733446484
46,new,man,0.12392774419361907
47,.,man,0.1186852856456655
48,travel,covid-19,0.1171600211264957
49,novel,recently,0.11608346251603696
50,travel,man,0.11085520698185536
51,ontario,new,0.10998894885150912
52,),covid-19,0.10987463537951048
53,ontario,covid-19,0.10881936068905895
54,ontario,novel,0.1076082578980736
55,ontario,recently,0.10657806521915913
56,(,covid-19,0.10650796341113644
57,case,coronavirus,0.10648937260198221
58,(,travel,0.1046851782556859
59,),travel,0.09849769136388686
60,new,coronavirus,0.09606172288381565
61,<START>,new,0.09498099340035504
62,case,travel,0.09278749515400175
63,travel,novel,0.09238802960319115
64,case,novel,0.09118358747994859
65,novel,man,0.0871210825210853
66,case,recently,0.07975527557683282
67,confirm,new,0.07948321665293989
68,(,recently,0.07533276732949823
69,),recently,0.07455675434124331
70,travel,ontario,0.07323041426068766
71,man,coronavirus,0.07265831933090283
72,<START>,egypt,-0.07012283281137166
73,80,<START>,-0.07012283281137144
74,confirm,(,0.06871482075295199
75,<END>,new,0.06848927095578572
76,confirm,),0.06686910451381767
77,covid-19,coronavirus,0.06642840730957211
78,<END>,egypt,-0.06606678927751597
79,80,<END>,-0.06606678927751597
80,confirm,man,0.06589604667217486
81,ontario,<START>,0.063795824510257
82,<END>,man,0.06203257015167274
83,80,coronavirus,-0.06048272111801456
84,egypt,coronavirus,-0.06048272111801434
85,(,man,0.05977689458570823
86,<START>,man,0.0592140237645693
87,case,man,0.05828203017333622
88,),man,0.05770663132602705
89,covid-19,novel,0.0568569651502604
90,covid-19,recently,-0.055099762633869176
91,travel,<END>,0.05443326807269444
92,.,new,0.052584295269005876
93,novel,coronavirus,0.04917811375707404
94,),coronavirus,0.04491934419291821
95,.,travel,-0.04288768769753437
96,(,coronavirus,0.0418815504347273
97,confirm,travel,0.04140642342957268
98,ontario,<END>,0.03946753689278515
99,confirm,coronavirus,0.03841734939887553
100,travel,<START>,0.037801259516850094
101,(,ontario,0.036209902015557516
102,recently,coronavirus,0.035293751302938325
103,confirm,<START>,0.03433036007772694
104,.,),0.03411949400176473
105,),ontario,0.03407838962965781
106,confirm,covid-19,-0.03231518223168961
107,covid-19,new,0.03162352222057818
108,.,(,0.03081884508869026
109,case,(,0.02900900391094363
110,case,),0.026437445568162077
111,ontario,coronavirus,-0.026260160744196792
112,covid-19,man,0.025990658022537305
113,.,80,-0.025902390947850407
114,.,egypt,-0.025902390947850407
115,(,<END>,-0.023627283401609578
116,),<END>,-0.022404833260874613
117,.,covid-19,0.020951903575112008
118,(,<START>,-0.020792739420898654
119,confirm,<END>,0.020527311295971074
120,),<START>,-0.02015185217936888
121,.,recently,0.015709251383162703
122,(,new,-0.012927892007190911
123,.,ontario,-0.012553453718000762
124,novel,new,-0.012489085972438696
125,<END>,recently,0.011802946759217003
126,travel,new,0.010654298412793417
127,),new,-0.010507170898970575
128,.,novel,-0.006586845191157709
129,<START>,novel,-0.004936289919801107
130,confirm,.,0.004627371217413412
131,<END>,novel,-0.0045069943513298405
132,80,covid-19,0.004339633992192615
133,covid-19,egypt,0.004339633992192504
134,<START>,recently,0.002491200840407992
135,travel,coronavirus,0.0013139869932380366
